primary_label,latitude,longitude,scientific_name,encoded_label
asbfly,39.2297,118.1987,Muscicapa dauurica,0
asbfly,51.403,104.6401,Muscicapa dauurica,0
asbfly,36.3319,127.3555,Muscicapa dauurica,0
asbfly,21.1697,70.6005,Muscicapa dauurica,0
asbfly,15.5442,73.7733,Muscicapa dauurica,0
asbfly,42.5275,130.692,Muscicapa dauurica,0
asbfly,44.3602,132.7989,Muscicapa dauurica,0
asbfly,43.7953,132.5283,Muscicapa dauurica,0
asbfly,10.1653,76.5476,Muscicapa dauurica,0
asbfly,20.2864,100.0577,Muscicapa dauurica,0
asbfly,21.0416,105.8317,Muscicapa dauurica,0
asbfly,21.2009,94.0341,Muscicapa dauurica,0
asbfly,49.8699,127.6447,Muscicapa dauurica,0
asbfly,1.3481,103.7766,Muscicapa dauurica,0
asbfly,1.4181,103.7248,Muscicapa dauurica,0
asbfly,49.1126,130.7299,Muscicapa dauurica,0
asbfly,62.2907,88.9948,Muscicapa dauurica,0
asbfly,1.3415,103.7876,Muscicapa dauurica,0
asbfly,13.8577,100.4663,Muscicapa dauurica,0
asbfly,12.9912,80.2363,Muscicapa dauurica,0
asbfly,13.8549,100.4735,Muscicapa dauurica,0
asbfly,10.3526,77.5744,Muscicapa dauurica,0
asbfly,36.1597,128.4909,Muscicapa dauurica,0
asbfly,,,Muscicapa dauurica,0
asbfly,42.948,131.8324,Muscicapa dauurica,0
asbfly,4.6009,101.1485,Muscicapa dauurica,0
asbfly,19.4544,54.622,Muscicapa dauurica,0
asbfly,36.3653,138.5939,Muscicapa dauurica,0
asbfly,1.3695,103.9005,Muscicapa dauurica,0
asbfly,21.1618,81.241,Muscicapa dauurica,0
asbfly,1.291781,103.630832,Muscicapa dauurica,0
asbfly,0.6837,104.26,Muscicapa dauurica,0
asbfly,1.2914,103.7667,Muscicapa dauurica,0
asbfly,35.9259,126.7468,Muscicapa dauurica,0
asbfly,17.9361,102.6217,Muscicapa dauurica,0
asbfly,3.1404,101.632,Muscicapa dauurica,0
asbfly,1.313926,103.815667,Muscicapa dauurica,0
asbfly,23.8264,120.8024,Muscicapa dauurica,0
asbfly,23.8287,120.8017,Muscicapa dauurica,0
asbfly,6.8922,80.1728,Muscicapa dauurica,0
asbfly,1.3422,103.8254,Muscicapa dauurica,0
asbfly,1.3178,103.772,Muscicapa dauurica,0
asbfly,10.0825,78.2164,Muscicapa dauurica,0
